词根,状态,平均兴趣度,峰值兴趣度,趋势方向,相关查询数量
translator,成功,36.08,47,rising,5
generator,成功,74.17,90,stable,5
example,成功,31.5,45,rising,5
convert,成功,74.75,85,stable,5
online,成功,60.58,74,stable,5
downloader,成功,71.33,80,stable,5
maker,成功,32.92,45,rising,5
creator,成功,46.08,57,declining,5
editor,成功,35.67,51,stable,5
processor,成功,29.83,39,rising,5
designer,成功,37.75,51,rising,5
compiler,成功,37.5,52,stable,5
analyzer,成功,22.17,39,declining,5
evaluator,成功,50.08,63,stable,5
sender,成功,30.58,42,stable,5
receiver,成功,61.75,71,rising,5
interpreter,成功,71.0,81,rising,5
uploader,成功,62.5,70,stable,5
calculator,成功,58.67,73,stable,5
sample,成功,27.25,44,rising,5
template,成功,58.58,69,stable,5
format,成功,34.92,50,stable,5
builder,成功,41.75,52,stable,5
scheme,成功,76.58,91,declining,5
pattern,成功,46.0,61,declining,5
checker,成功,39.67,54,declining,5
detector,成功,43.92,58,declining,5
scraper,成功,33.33,45,stable,5
manager,成功,37.58,48,declining,5
explorer,成功,44.75,59,stable,5
dashboard,成功,66.75,80,stable,5
planner,成功,33.0,43,stable,5
tracker,成功,28.67,42,stable,5
recorder,成功,58.58,72,rising,5
optimizer,成功,38.25,53,rising,5
scheduler,成功,30.42,41,rising,5
converter,成功,57.75,72,stable,5
viewer,成功,45.5,60,stable,5
extractor,成功,37.0,50,declining,5
monitor,成功,35.92,49,stable,5
notifier,成功,42.75,56,declining,5
verifier,成功,66.0,79,rising,5
simulator,成功,79.83,92,declining,5
assistant,成功,32.5,49,rising,5
constructor,成功,53.75,65,declining,5
comparator,成功,77.42,91,stable,5
navigator,成功,34.0,50,rising,5
syncer,成功,43.75,55,declining,5
connector,成功,41.08,57,declining,5
cataloger,成功,65.08,75,stable,5
responder,成功,37.17,50,stable,5
