query,intent_primary,intent_secondary,sub_intent,probability,probability_secondary,signals_hit
what is ai,I,,I1,1.0,0,词面:what is
how to use chatgpt,I,,I3,1.0,0,词面:how to
best ai tools 2025,C,,C1,1.0,0,"词面:best, 词面:tool, 词面:tools, 词面:tool, 词面:tools"
ai vs human intelligence,C,,C2,1.0,0,词面:vs
chatgpt login,N,,N2,1.0,0,词面:login
ai tutorial for beginners,I,,I3,1.0,0,词面:tutorial
openai api price,E,,E1,1.0,0,词面:price
ai error message fix,B,,B1,1.0,0,"词面:error, 词面:fix"
chatgpt discount code,E,,E2,1.0,0,词面:discount
stable diffusion download,N,,N3,1.0,0,词面:download
top 10 ai models,C,,C1,1.0,0,词面:top 10
ai tools review,C,,C1,1.0,0,"词面:tool, 词面:tools, 词面:review, 词面:tool, 词面:tools"
buy ai writing tool,C,E,C1,0.5,0.5,"词面:tool, 词面:buy, 词面:tool, 词面:buy"
advanced ai prompting,B,,B2,1.0,0,词面:advanced
ai settings guide,B,I,B3,0.5,0.5,"词面:setting, 词面:guide"
ai near me,L,,L1,1.0,0,词面:near me
ai conference 2025 directions,L,,L2,1.0,0,词面:directions
ai store opening hours,L,,L3,1.0,0,"词面:opening hours, 词面:store"
